-1 | #SUP: 10000
0 | #SUP: 1403
1 | #SUP: 1601
2 | #SUP: 1754
4 | #SUP: 1400
5 | #SUP: 1418
6 | #SUP: 2214
8 | #SUP: 1175
9 | #SUP: 1230
10 | #SUP: 1027
11 | #SUP: 1396
12 | #SUP: 2253
13 | #SUP: 1210
14 | #SUP: 1791
17 | #SUP: 1782
18 | #SUP: 1399
19 | #SUP: 1024
21 | #SUP: 1368
22 | #SUP: 2275
23 | #SUP: 1442
24 | #SUP: 1619
25 | #SUP: 2197
26 | #SUP: 1206
27 | #SUP: 1629
28 | #SUP: 1793
29 | #SUP: 1393
30 | #SUP: 1609
31 | #SUP: 1034
33 | #SUP: 2019
34 | #SUP: 1845
37 | #SUP: 2083
38 | #SUP: 1595
39 | #SUP: 1248
40 | #SUP: 1776
41 | #SUP: 2412
42 | #SUP: 1617
45 | #SUP: 1844
46 | #SUP: 1380
47 | #SUP: 1347
48 | #SUP: 1381
-1 | -1 | #SUP: 10000
-1 | 0 | #SUP: 3213
-1 | 1 | #SUP: 3350
-1 | 2 | #SUP: 3492
-1 | 4 | #SUP: 3210
-1 | 5 | #SUP: 3187
-1 | 6 | #SUP: 3831
-1 | 8 | #SUP: 3033
-1 | 9 | #SUP: 3095
-1 | 10 | #SUP: 2965
-1 | 11 | #SUP: 3218
-1 | 12 | #SUP: 3864
-1 | 13 | #SUP: 3070
-1 | 14 | #SUP: 3529
-1 | 17 | #SUP: 3519
-1 | 18 | #SUP: 3222
-1 | 19 | #SUP: 2953
-1 | 21 | #SUP: 3181
-1 | 22 | #SUP: 3878
-1 | 23 | #SUP: 3279
-1 | 24 | #SUP: 3358
-1 | 25 | #SUP: 3831
-1 | 26 | #SUP: 3082
-1 | 27 | #SUP: 3401
-1 | 28 | #SUP: 3567
-1 | 29 | #SUP: 3238
-1 | 30 | #SUP: 3365
-1 | 31 | #SUP: 2925
-1 | 33 | #SUP: 3673
-1 | 34 | #SUP: 3521
-1 | 37 | #SUP: 3736
-1 | 38 | #SUP: 3366
-1 | 39 | #SUP: 3086
-1 | 40 | #SUP: 3518
-1 | 41 | #SUP: 3955
-1 | 42 | #SUP: 3421
-1 | 45 | #SUP: 3559
-1 | 46 | #SUP: 3212
-1 | 47 | #SUP: 3167
-1 | 48 | #SUP: 3175
0 | -1 | #SUP: 3107
1 | -1 | #SUP: 3188
1 | 33 | #SUP: 1175
2 | -1 | #SUP: 3451
2 | 6 | #SUP: 1082
2 | 12 | #SUP: 1023
2 | 14 | #SUP: 1186
4 | -1 | #SUP: 3112
5 | -1 | #SUP: 3112
5 | 12 | #SUP: 1086
6 | -1 | #SUP: 3740
6 | 41 | #SUP: 1205
8 | -1 | #SUP: 2820
9 | -1 | #SUP: 3092
9 | 12 | #SUP: 1085
10 | -1 | #SUP: 2764
11 | -1 | #SUP: 3181
12 | -1 | #SUP: 3576
13 | -1 | #SUP: 3026
14 | -1 | #SUP: 3271
14 | 45 | #SUP: 1018
17 | -1 | #SUP: 3344
18 | -1 | #SUP: 3102
19 | -1 | #SUP: 2837
21 | -1 | #SUP: 3029
22 | -1 | #SUP: 3592
22 | 1 | #SUP: 1059
22 | 12 | #SUP: 1046
22 | 14 | #SUP: 1261
22 | 45 | #SUP: 1074
23 | -1 | #SUP: 2975
24 | -1 | #SUP: 3202
24 | 23 | #SUP: 1073
24 | 29 | #SUP: 1004
24 | 41 | #SUP: 1157
25 | -1 | #SUP: 3636
26 | -1 | #SUP: 3088
26 | 12 | #SUP: 1096
27 | -1 | #SUP: 3363
28 | -1 | #SUP: 3290
28 | 41 | #SUP: 1067
