"extract_date","departement","region","libelle_reg","libelle_dep","tx_incid","R","taux_occupation_sae","tx_pos","tx_incid_couleur","R_couleur","taux_occupation_sae_couleur","tx_pos_couleur","nb_orange","nb_rouge"
"2020-03-30","01",84,"Auvergne Rhône Alpes","Ain",,,104.3,,"","","rouge","",0,1
"2020-03-18","01",84,"Auvergne Rhône Alpes","Ain",,,6.3,,"","","vert","",0,0
"2020-03-19","01",84,"Auvergne Rhône Alpes","Ain",,,14.1,,"","","vert","",0,0
"2020-03-20","01",84,"Auvergne Rhône Alpes","Ain",,,15.6,,"","","vert","",0,0
"2020-03-21","01",84,"Auvergne Rhône Alpes","Ain",,,15.7,,"","","vert","",0,0
"2020-03-22","01",84,"Auvergne Rhône Alpes","Ain",,,19,,"","","vert","",0,0
"2020-03-23","01",84,"Auvergne Rhône Alpes","Ain",,,28.1,,"","","vert","",0,0
"2020-03-24","01",84,"Auvergne Rhône Alpes","Ain",,,34,,"","","orange","",1,0
"2020-03-25","01",84,"Auvergne Rhône Alpes","Ain",,,46.2,,"","","orange","",1,0
"2020-03-26","01",84,"Auvergne Rhône Alpes","Ain",,,51.9,,"","","orange","",1,0
"2020-03-27","01",84,"Auvergne Rhône Alpes","Ain",,,61.5,,"","","rouge","",0,1
"2020-03-28","01",84,"Auvergne Rhône Alpes","Ain",,,77.3,,"","","rouge","",0,1
"2020-03-29","01",84,"Auvergne Rhône Alpes","Ain",,,88.9,,"","","rouge","",0,1
"2020-04-25","01",84,"Auvergne Rhône Alpes","Ain",,,79.4,,"","","rouge","",0,1
"2020-04-26","01",84,"Auvergne Rhône Alpes","Ain",,,78.5,,"","","rouge","",0,1
"2020-04-27","01",84,"Auvergne Rhône Alpes","Ain",,,77.5,,"","","rouge","",0,1
"2020-04-28","01",84,"Auvergne Rhône Alpes","Ain",,,72.6,,"","","rouge","",0,1
"2020-04-29","01",84,"Auvergne Rhône Alpes","Ain",,,68.5,,"","","rouge","",0,1
"2020-04-30","01",84,"Auvergne Rhône Alpes","Ain",,,66.4,,"","","rouge","",0,1
"2020-05-01","01",84,"Auvergne Rhône Alpes","Ain",,,64.2,,"","","rouge","",0,1
"2020-05-02","01",84,"Auvergne Rhône Alpes","Ain",,,64.2,,"","","rouge","",0,1
