,0
0,"Suitable metal enclosures Spacial SF, 2000x1600x400, 2 door(s)"
1,Combi SPU 25/50 A 3P N Surge Protection - 25 A
2,Int. termomag. C60N 1X1â€¦63A curva B/C/D - A9N24051
3,Lexium GBX planetary gearboxes : GBX060020K with adaptator kit : GBK0600570A
4,"Plain wicket door, W = 150 mm"
5,"Starter-controller up to 15 kW with Power base LUB32, Control unit LUCA1XB, Communication module ASILUFC51, Accessories LUA1C20"
6,PrismaSeT_LVS04926_Partition Conn. Dev>800A W650 D600
7,"planetary gearboxes GBX120012K with adaptator kit GBK 120 140 0 F, casing diameter = 120 and reduction ratio = 12:1"
8,"Control and signalling units Ã˜ 22, HarmonyÂ® XB5 plastic, Illuminated Selector switch with standard handle, With integral LED, Head only, 2 position stay put, White handle"
9,"Starter-controller up to 15 kW with Power base LUS12, Control unit LUCD1XB, Communication module LULC033"
10,Circuit breaker Masterpact MTZ1 12H3 - 1250 A - 3P fixed - w/o Micrologic
11,"xSW Switch disconnector 2P 40/63/80A, A9S2P063"
12,"Starter-controller up to 15 kW with Power base LUB32, Control unit LUCC12BL, Communication module LUFDH11, Accessories LUA1C11"
13,Motor controller LTMR TeSys T - 100..240 V AC 100 A for Ethernet TCP/IP
14,Trihal Transfo 2000kVA 13.8kV-480Y/277V Dyn11 ALU
15,Easy9 Compact 2 row enclosure
16,Extention Box 300x300x80 SBM
17,"Starter-controller up to 15 kW with Power base LUB12, Control unit LUCA12ES, Communication module LUFDA01, Accessories LUA1C20"
18,blue selector switch head Ã˜22 3-position spring return
19,LONG FEED UNIT - KRC6300EL53
20,"Starter-controller up to 15 kW with Power base LUB32, Control unit LUCD32ES, Communication module LUFN02, Accessories LUA1C20"
21,XPSMCM Expansion module for safety speed monitoring upto 2 HTL inputs with cage clamp teminal.
22,"iDPN Vigi 1PPN 6Aâ€¦40A Residual current circuit breaker with overcurrent protection, A9N21630"
23,HMISTU655W
24,"Vigi C40 3PPN 25/40A 30/300mA; Adaptable residual current device, A9N19476"
25,PrismaSeT_LVS03070_M.Pl.Hz.Fixed Ns630 Tog.
26,ACTI 9 iCV40 1PN C 10A 4500A 30mA A type RCBO
27,"Starter-controller up to 15 kW with Power base LUS32, Control unit LUCB1XFU, Communication module LUFN20, Accessories LUA1C20"
28,TeSys D contactor - 4P - AC-1 - <= 440 V 32 & 40 A  - AC coil - LC1DT32B7
29,ABS/PC wall-mounting encl. PLM version with plain door H310xW215xD160
30,"Acti9 iC60H 3P 0,5A...63A; Double terminal Miniature Circuit breaker, A9F06320"
31,"Starter-controller up to 15 kW with Power base LUB32, Control unit LUCC1XB, Communication module LUFN02, Accessories LUA1C20"
32,"Servomotor SH3 205 94,4Nm,key,multi,nobrake,str.conn,IP65/IP67,3.8k RPM"
33,PrismaSeT_LVS08253_Plain Door W850 30M IP30/4X
34,"Starter-controller up to 15 kW with Power base LUS32, Control unit LUCBX6FU, Communication module LUFW10, Accessories LUA1C20"
35,TeSys LG - enclosed DOL starter - LG1D182N720
36,TeSys contactor - 3P - 115 to 150 A - LC1D15065K7
37,"Starter-controller up to 15 kW with Power base LUB12, Control unit LUCC05FU, Communication module LUFV2, Accessories LUA1C11"
38,PrismaSeT_LVS04568_Linergy Lgye Profile 4000 A W2000
39,"Contactors for motor control, 6 to 16 A in category AC-3 and 6 to 12 A in category AC-4. Control circuit: a.c. Current: 16 A, Instantaneous auxiliary contacts: 1F, Volts 50/60 Hz: 42 volts"
40,MODULE TM3-8 INPUTS
41,Polyester encl. PLAT version with ventilated canopy H500xW500xD320 ribbed
42,Circuit breaker Masterpact MTZ1 10H1 - 1000 A - 4P drawout - w/o Micrologic
43,CANALIS KT 5X3200AL PLUG-IN LENGTH 2M
44,Acti9 IC60 RCBO 2P 10A 300mA C 10kA A
45,Metal industrial box plain door H200xW500xD80
46,"Starter-controller up to 15 kW with Power base LUB12, Control unit LUCMX6BL, Communication module LUFN02, Accessories LUA1C20"
47,Acti 9 iC60H/N 2P 1Aâ€¦63A Miniature Circuit Breaker - A9F55210
48,LC1E40 to 65 - 3P contactors - LC1E65B5
49,STRAIGHT FEED UNIT - KRA5000ER31
